event-id,title,tags
1000,"""Baking School: Essential Breads with Chef Cleo""",Food|Drink
1001,"""Spring 2019 Service-Learning Reception & Virtual EXPO""",Class|Sports|Fitness
1002,"""BU Women's Club Hockey Spring Clinic""",Class|Sports|Fitness
1003,"""Charlesgate in Bloom""",Party|Charity|Cause
1004,"""All inclusive Childbirth and Infant Care class with optional Infant CPR 9am...""",Class|Family|Education
1005,"""Beyond the Brewhouse""",Tour|Food|Drink
1006,"""Humanity Needs Dreamers: A Visit With Marie Curie - Digital Theater""",Screening|Science|Tech
1007,"""Tri Sigma Founders Day""",Other
1008,"""Body Weight Strong""",Seminar|Sports|Fitness
1009,"""Boston:Tillman Honor Run""",Sport|Fitness
1010,"""Women's Economic Empowerment Series Part II (Cambridge)""",Seminar|Other
1011,"""2019 Volunteer Expo: Prudential Center""",Festival|Charity|Cause
1012,"""2019 Annual Tour of the Hidden Gardens of Beacon Hill""",Tour|Charity|Cause
1013,"""MCMPA 2009 ~ Harvard Kennedy School - Reunion Dinner ~ May 18, 2019""",Class
1014,"""Mission Hill Easter Egg Hunt""",Festival|Holiday
1015,"""Donation Yoga Class for the Lemay Family""",Class|Health
1016,"""Core and Backbends: a yoga series with Anne Patrick""",Class|Sports|Fitness
1017,"""Ipsa Dixit: Operatic Beer Experience""",Performance|Music
1018,"""Hideout Comedy @ The White Bull (Friday, 7.30PM)""",Performance|Art
1019,"""Run for Peace: Supporting One World Marathon!""",Race|Sports|Fitness
1020,"""Boston Insurtech Startup Showcase""",Networking|Business
1021,"""2019 Making Waves with The Tide""",Party|Charity|Cause
1022,"""Congresswoman Ayanna Pressley & Rev. Mariama White-Hammond: Green New Deal...""",Networking|Charity|Cause
1023,"""Devastation On The Nation Tour 2019""",Performance|Music
1024,"""PATH-WAY's Annual Fundraiser Celebration""",Gala|Charity|Cause
1025,"""Heather Abbott Foundation's 5th Annual Boston Marathon Weekend Fundraiser""",Party|Charity|Cause
