user-id,event-id,rating
3000,1580,
3000,1724,
3000,2367,
3000,1763,
3000,2350,
3001,1416,
3001,2022,
3001,2347,
3001,2096,
3001,1754,
3002,1092,
3002,2283,
3002,2195,
3002,1531,
3002,1398,
3003,2382,
3003,2233,
3003,1754,
3003,2453,
3003,1139,
3004,2183,
3004,1444,
3004,1900,
3004,2505,
3004,1615,
3005,2503,
3005,1803,
3005,1284,
3005,1134,
3005,1067,
3006,2252,
3006,1387,
3006,2438,
3006,1245,
3006,2099,
3007,2281,
3007,2476,
3007,2267,
3007,2143,
3007,1298,
3008,1507,
3008,1936,
3008,1505,
3008,1972,
3008,2486,
3009,1478,
3009,1390,
3009,1031,
3009,1361,
3009,1379,
3010,2219,
3010,2245,
3010,1139,
3010,1007,
3010,1662,
3011,1210,
3011,1063,
3011,2294,
3011,1476,
3011,1621,
3012,1594,
3012,2415,
3012,1137,
3012,2476,
3012,2422,
3013,1952,
3013,2184,
3013,2451,
3013,1322,
3013,1708,
3014,2246,
3014,2417,
3014,2195,
3014,1279,
3014,1274,
3015,1513,
3015,1787,
3015,1586,
3015,1574,
3015,2271,
3016,1537,
3016,1432,
3016,2343,
3016,1073,
3016,2009,
3017,1317,
3017,2141,
3017,2318,
3017,2376,
3017,1958,
3018,1821,
3018,2191,
3018,1971,
3018,2090,
3018,2082,
3019,1529,
3019,2314,
3019,1739,
3019,2345,
3019,1838,
3020,1179,
3020,2431,
3020,1967,
3020,1702,
3020,1357,
3021,1103,
3021,1382,
3021,1086,
3021,2183,
3021,1560,
3022,2238,
3022,1873,
3022,1449,
3022,2327,
3022,2271,
3023,1820,
3023,2096,
3023,1527,
3023,1738,
3023,1232,
3024,2385,
3024,2252,
3024,1641,
3024,1212,
3024,1926,
3025,1800,
3025,2344,
3025,2056,
3025,1095,
3025,1223,
3026,1402,
3026,1349,
3026,1683,
3026,1359,
3026,1641,
3027,2267,
3027,1111,
3027,2386,
3027,1008,
3027,2493,
3028,2363,
3028,2478,
3028,1258,
3028,1827,
3028,2160,
3029,1578,
3029,1053,
3029,2134,
3029,1580,
3029,2462,
3030,2358,
3030,1857,
3030,1090,
3030,2339,
3030,2172,
3031,2396,
3031,1803,
3031,1021,
3031,1950,
3031,1704,
3032,2269,
3032,2332,
3032,1407,
3032,1228,
3032,2216,
3033,1830,
3033,1045,
3033,2406,
3033,1511,
3033,2005,
3034,1571,
3034,2504,
3034,1883,
3034,1313,
3034,1745,
3035,1802,
3035,2377,
3035,1729,
3035,1953,
3035,1421,
3036,1030,
3036,1983,
3036,2248,
3036,1241,
3036,1301,
3037,1028,
3037,2258,
3037,2370,
3037,1040,
3037,2035,
3038,2370,
3038,1097,
3038,2043,
3038,1471,
3038,1678,
3039,1856,
3039,1101,
3039,1641,
3039,2214,
3039,1408,
3040,2104,
3040,1839,
3040,1074,
3040,1452,
3040,2272,
3041,1967,
3041,1435,
3041,1706,
3041,1061,
3041,1463,
3042,1242,
3042,1790,
3042,2023,
3042,2400,
3042,1424,
3043,2064,
3043,1731,
3043,2341,
3043,2060,
3043,1310,
3044,1211,
3044,1711,
3044,1651,
3044,1617,
3044,1731,
3045,2421,
3045,2492,
3045,1647,
3045,1115,
3045,1969,
3046,2075,
3046,1486,
3046,2085,
3046,1736,
3046,1337,
3047,2026,
3047,1007,
3047,1856,
3047,2410,
3047,1501,
3048,2216,
3048,2207,
3048,2199,
3048,1022,
3048,1424,
3049,2055,
3049,2439,
3049,2120,
3049,2196,
3049,2396,
3050,1110,
3050,1941,
3050,2048,
3050,1362,
3050,1911,
3051,1156,
3051,2507,
3051,1956,
3051,2176,
