web-scraper-order,web-scraper-start-url,url,url-href,title,date,time,venue,price,tags
"1554989153-185","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=40","LATOKEN Blockchain Economic Forum, Los Angeles part of the US Road-showLATOKEN Blockchain Economic Forum, Los Angeles part of the US Road-show","https://www.eventbrite.com/e/latoken-blockchain-economic-forum-los-angeles-part-of-the-us-road-show-tickets-58660394820?aff=ebdssbdestsearch","LATOKEN Blockchain Economic Forum, Los Angeles part of the US Road-show","Wed, May 1, 2019, 8:00 PM –","Fri, May 3, 2019, 2:00 PM PDT","No Refunds","$150","[{""tags"":""Things to do in Los Angeles Downtown""},{""tags"":""Networking""}]"
"1554982301-57","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=47","Taste of Conscious Leadership - Los AngelesTaste of Conscious Leadership - Los Angeles","https://www.eventbrite.com/e/taste-of-conscious-leadership-los-angeles-tickets-50977903281?aff=ebdssbdestsearch","Taste of Conscious Leadership - Los Angeles","Tue, May 7, 2019","1:00 PM – 5:30 PM PDT","Refunds up to 7 days before event","$200 – $250","[{""tags"":""Things to do in Culver City, CA""},{""tags"":""Class""},{""tags"":""Business""}]"
"1554981056-21","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=48","Kat McGee Saves the World: An Earth Day Adventure with Kristin RiddickKat McGee Saves the World: An Earth Day Adventure with Kristin Riddick","https://www.eventbrite.com/e/kat-mcgee-saves-the-world-an-earth-day-adventure-with-kristin-riddick-tickets-58350027503?aff=ebdssbdestsearch","Kat McGee Saves the World: An Earth Day Adventure with Kristin Riddick","Sat, April 20, 2019","11:00 AM – 12:30 PM PDT","null","$11.99","[{""tags"":""Things to do in Los Angeles, CA""},{""tags"":""Appearance""},{""tags"":""Hobbies""}]"
"1554983198-85","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=45","35mm Hayao Miyazaki's CASTLE IN THE SKY at the Vista, Los Feliz35mm Hayao Miyazaki's CASTLE IN THE SKY at the Vista, Los Feliz","https://www.eventbrite.com/e/35mm-hayao-miyazakis-castle-in-the-sky-at-the-vista-los-feliz-tickets-57584204907?aff=ebdssbdestsearch","35mm Hayao Miyazaki's CASTLE IN THE SKY at the Vista, Los Feliz","Sat, May 4, 2019","10:30 AM – 12:31 PM PDT","Refunds up to 1 day before event","$11 – $63","[{""tags"":""Things to do in Los Angeles, CA""},{""tags"":""Screening""},{""tags"":""Film & Media""}]"
"1554988586-167","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=40","On Deck Comedy Show at The Blue Rooster!! (Every 2nd Saturday)On Deck Comedy Show at The Blue Rooster!! (Every 2nd Saturday)","https://www.eventbrite.com/e/on-deck-comedy-show-at-the-blue-rooster-every-2nd-saturday-tickets-53698985110?aff=ebdssbdestsearch","On Deck Comedy Show at The Blue Rooster!! (Every 2nd Saturday)","Sat, April 13, 2019","7:30 PM – 10:00 PM PDT","Blue Rooster Art Supplies","$10","[{""tags"":""Things to do in Los Angeles, CA""},{""tags"":""Performance""},{""tags"":""Arts""}]"
"1554987627-137","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=42","Melrose Rooftop Theatre Presents - BLACKKKLANSMANMelrose Rooftop Theatre Presents - BLACKKKLANSMAN","https://www.eventbrite.com/e/melrose-rooftop-theatre-presents-blackkklansman-tickets-56454881069?aff=ebdssbdestsearch","Melrose Rooftop Theatre Presents - BLACKKKLANSMAN","Wed, April 24, 2019","8:30 PM – 11:30 PM PDT","No Refunds","$27.50 – $65","[{""tags"":""Things to do in West Hollywood, CA""},{""tags"":""Attraction""},{""tags"":""Film & Media""}]"
"1554987217-123","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=43","Baisakhi Celebration 2019Baisakhi Celebration 2019","https://www.eventbrite.com/e/baisakhi-celebration-2019-tickets-54945633870?aff=ebdssbdestsearch","Baisakhi Celebration 2019","Sun, April 14, 2019","7:00 AM – 6:00 PM PDT","null","Free","[{""tags"":""Things to do in Los Angeles, CA""},{""tags"":""Festival""},{""tags"":""Community""}]"
"1554982507-63","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=46","35mm The Coen Brothers' THE BIG LEBOWSKI at the Vista, Los Feliz35mm The Coen Brothers' THE BIG LEBOWSKI at the Vista, Los Feliz","https://www.eventbrite.com/e/35mm-the-coen-brothers-the-big-lebowski-at-the-vista-los-feliz-tickets-57637326796?aff=ebdssbdestsearch","35mm The Coen Brothers' THE BIG LEBOWSKI at the Vista, Los Feliz","Sat, Aug 31, 2019, 11:59 PM –","Sun, Sep 1, 2019, 2:30 AM PDT","Refunds up to 1 day before event","$11 – $72","[{""tags"":""Things to do in Los Angeles, CA""},{""tags"":""Screening""},{""tags"":""Film & Media""}]"
"1554988044-151","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=41","Members' Movie Night: The Good Dinosaur (2015)Members' Movie Night: The Good Dinosaur (2015)","https://www.eventbrite.com/e/members-movie-night-the-good-dinosaur-2015-tickets-59553921382?aff=ebdssbdestsearch","Members' Movie Night: The Good Dinosaur (2015)","Sat, June 8, 2019","5:00 PM – 8:30 PM PDT","null","Free","[{""tags"":""Things to do in Los Angeles, CA""},{""tags"":""Screening""}]"
"1554981322-30","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=48","Making Connections for Reentry Housing  Making Connections for Reentry Housing","https://www.eventbrite.com/e/making-connections-for-reentry-housing-tickets-56422398914?aff=ebdssbdestsearch","Making Connections for Reentry Housing","Thu, April 18, 2019","11:00 AM – 2:00 PM PDT","null","Free","[{""tags"":""Things to do in Enter Parking Lot On Gladys Street""},{""tags"":""Networking""},{""tags"":""Business""}]"
"1554982130-53","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=47","Keith & Margo's Murder Mystery Dinner - Daily Grill/Santa Monica - $68+taxKeith & Margo's Murder Mystery Dinner - Daily Grill/Santa Monica - $68+tax","https://www.eventbrite.com/e/keith-margos-murder-mystery-dinner-daily-grillsanta-monica-68tax-tickets-57548441939?aff=ebdssbdestsearch","Keith & Margo's Murder Mystery Dinner - Daily Grill/Santa Monica - $68+tax","Sat, April 13, 2019","7:00 PM – 10:00 PM PDT","Daily Grill","$66.25 – $71.25","[{""tags"":""Things to do in Santa Monica, CA""},{""tags"":""Gala""},{""tags"":""Arts""}]"
"1554983690-100","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=44","Social Justice and Public Space: Propositions and ProblemsSocial Justice and Public Space: Propositions and Problems","https://www.eventbrite.com/e/social-justice-and-public-space-propositions-and-problems-tickets-53078334728?aff=ebdssbdestsearch","Social Justice and Public Space: Propositions and Problems","Tue, April 23, 2019","2:00 PM – 4:00 PM PDT","null","Free","[{""tags"":""Things to do in Los Angeles, CA""},{""tags"":""Seminar""}]"
"1554987028-115","https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=43","Cherry Blossom Festival - 22nd Annual Cherry Blossom Festival - 22nd Annual","https://www.eventbrite.com/e/cherry-blossom-festival-22nd-annual-tickets-58872514275?aff=ebdssbdestsearch","Cherry Blossom Festival - 22nd Annual","Sat, Apr 27, 2019, 11:00 AM –","Sun, Apr 28, 2019, 6:00 PM PDT","null","Free","[{""tags"":""Things to do in Monterey Park, CA""},{""tags"":""Festival""},{""tags"":""Community""}]"
