web-scraper-order	web-scraper-start-url	url	url-href	title	date	time	venue	price	tags							
1554597049-897	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=3	Radical Women's 2020 Conference (Worth Conference)Radical Women's 2020 Conference (Worth Conference)	https://www.eventbrite.com/e/radical-womens-2020-conference-worth-conference-tickets-58874371831?aff=ebdssbdestsearch	Radical Women's 2020 Conference (Worth Conference)	"Thu, Mar 19, 2020, 10:00 AM –"	"Sat, Mar 21, 2020, 4:00 PM EDT"	No Refunds	$20 – $200	"[{""tags"":""Things to do in Atlanta, GA""},{""tags"":""Conference""},{""tags"":""Spirituality""}]"							
1554596743-729	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=37	2019 Leadercast South Fulton One-Day Conference  (Kick-off to Leadership South Fulton)2019 Leadercast South Fulton One-Day Conference  (Kick-off to Leadership So...	https://www.eventbrite.com/e/2019-leadercast-south-fulton-one-day-conference-kick-off-to-leadership-south-fulton-tickets-51207747752?aff=ebdssbdestsearch	2019 Leadercast South Fulton One-Day Conference  (Kick-off to Leadership So...	"Fri, June 7, 2019"	9:00 AM – 4:00 PM EDT	"View Map
									View Map"	$140 – $600	"[{""tags"":""Things to do in Atlanta, GA""},{""tags"":""Conference""},{""tags"":""Business""}]"							
1554596678-682	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=45	"1922 by J.M.Keune - July 28th and 29th, 20191922 by J.M.Keune - July 28th and 29th, 2019"	https://www.eventbrite.com/e/1922-by-jmkeune-july-28th-and-29th-2019-tickets-50654095764?aff=ebdssbdestsearch	"1922 by J.M.Keune - July 28th and 29th, 2019"	"Sun, Jul 28, 2019, 9:00 AM –"	"Mon, Jul 29, 2019, 5:00 PM EDT"	United States	$500 	"[{""tags"":""Things to do in Atlanta, GA""},{""tags"":""Class""},{""tags"":""Fashion""}]"							
1554596734-724	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=38	Plant WorkshopsPlant Workshops	https://www.eventbrite.com/e/plant-workshops-tickets-54777220140?aff=ebdssbdestsearch	Plant Workshops	"Sat, April 27, 2019"	11:00 AM – 1:30 PM EDT	"View Map
									View Map"	$75 	"[{""tags"":""Things to do in Atlanta, GA""},{""tags"":""Class""},{""tags"":""Home & Lifestyle""}]"							
1554596668-673	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=46	A LAVISH FALL ADULT PROM A LAVISH FALL ADULT PROM	https://www.eventbrite.com/e/a-lavish-fall-adult-prom-tickets-56523734010?aff=ebdssbdestsearch	A LAVISH FALL ADULT PROM	"Sat, Sep 21, 2019, 7:00 PM –"	"Sun, Sep 22, 2019, 12:00 AM EDT"	2055 South Park Place	$82.50 – $85	"[{""tags"":""Things to do in Atlanta""},{""tags"":""Party""}]"							
1554596734-719	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=38	Plant WorkshopsPlant Workshops	https://www.eventbrite.com/e/plant-workshops-tickets-54777220140?aff=ebdssbdestsearch	Plant Workshops	"Sat, April 27, 2019"	11:00 AM – 1:30 PM EDT	Citizen Supply	$75 	"[{""tags"":""Things to do in Atlanta, GA""},{""tags"":""Class""},{""tags"":""Home & Lifestyle""}]"							
1554596889-813	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=22	Bow Ball 2019Bow Ball 2019	https://www.eventbrite.com/e/bow-ball-2019-tickets-58186316840?aff=ebdssbdestsearch	Bow Ball 2019	"Fri, April 26, 2019"	7:00 PM – 10:00 PM EDT	Refunds up to 7 days before event	$60 	"[{""tags"":""Things to do in Atlanta, GA""},{""tags"":""Party""},{""tags"":""Food & Drink""}]"							
1554596813-759	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=31	Private Label: Erick Morillo - Ravine AtlantaPrivate Label: Erick Morillo - Ravine Atlanta	https://www.eventbrite.com/e/private-label-erick-morillo-ravine-atlanta-tickets-58324150103?aff=ebdssbdestsearch	Private Label: Erick Morillo - Ravine Atlanta	"Sat, May 4, 2019, 10:00 PM –"	"Sun, May 5, 2019, 3:00 AM EDT"	Ravine	$15 – $75	"[{""tags"":""Things to do in Atlanta, GA""},{""tags"":""Performance""},{""tags"":""Music""}]"							
1554597032-890	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=5	The 2019 Prowl & Growl - ATLANTAThe 2019 Prowl & Growl - ATLANTA	https://www.eventbrite.com/e/the-2019-prowl-growl-atlanta-tickets-57409493340?aff=ebdssbdestsearch	The 2019 Prowl & Growl - ATLANTA	"Tue, April 9, 2019"	5:30 PM – 8:30 PM EDT	No Refunds	$0 – $50	"[{""tags"":""Things to do in Atlanta, GA""}]"							
1554596780-745	https://www.eventbrite.com/d/ga--atlanta/all-events/?page=34	Just Chef Mack’s Spring Time Brunch EventJust Chef Mack’s Spring Time Brunch Event	https://www.eventbrite.com/e/just-chef-macks-spring-time-brunch-event-tickets-57761334707?aff=ebdssbdestsearch	Just Chef Mack’s Spring Time Brunch Event	"Sun, April 14, 2019"	12:00 PM – 3:00 PM EDT	"View Map
									View Map"	$55 	"[{""tags"":""Things to do in Atlanta, GA""},{""tags"":""Party""},{""tags"":""Food & Drink""}]"							
