web-scraper-order	web-scraper-start-url	url	url-href	title	date	time	venue	price	tags							
1554659552-1201	https://www.eventbrite.com/d/ma--boston/all-events/?page=29	Baking School: Essential Breads with Chef CleoBaking School: Essential Breads with Chef Cleo	https://www.eventbrite.com/e/baking-school-essential-breads-with-chef-cleo-tickets-54946039082?aff=ebdssbdestsearch	Baking School: Essential Breads with Chef Cleo	"Sun, April 28, 2019"	1:00 PM – 3:00 PM EDT	The Boston Public Market	$52 – $65	"[{""tags"":""Things to do in Boston, MA""},{""tags"":""Class""},{""tags"":""Food & Drink""}]"							
1554659560-1202	https://www.eventbrite.com/d/ma--boston/all-events/?page=28	Spring 2019 Service-Learning Reception & Virtual EXPOSpring 2019 Service-Learning Reception & Virtual EXPO	https://www.eventbrite.com/e/spring-2019-service-learning-reception-virtual-expo-tickets-58144734466?aff=ebdssbdestsearch	Spring 2019 Service-Learning Reception & Virtual EXPO	"Thu, April 18, 2019"	10:00 AM – 11:00 AM EDT	346 Huntington Avenue	Free	"[{""tags"":""Things to do in Boston, MA""}]"							
1554659364-1181	https://www.eventbrite.com/d/ma--boston/all-events/?page=49	BU Women's Club Hockey Spring ClinicBU Women's Club Hockey Spring Clinic	https://www.eventbrite.com/e/bu-womens-club-hockey-spring-clinic-tickets-59290534585?aff=ebdssbdestsearch	BU Women's Club Hockey Spring Clinic	"Sat, April 27, 2019"	1:00 PM – 3:00 PM EDT	285 Babcock Street	$28 	"[{""tags"":""Things to do in Boston, MA""},{""tags"":""Class""},{""tags"":""Sports & Fitness""}]"							
1554659647-1212	https://www.eventbrite.com/d/ma--boston/all-events/?page=18	Charlesgate in BloomCharlesgate in Bloom	https://www.eventbrite.com/e/charlesgate-in-bloom-tickets-58099599466?aff=ebdssbdestsearch	Charlesgate in Bloom	"Sat, April 27, 2019"	5:00 PM – 7:00 PM EDT	375 Commonwealth Avenue	"$75 – $1,000"	"[{""tags"":""Things to do in Boston, MA""},{""tags"":""Party""},{""tags"":""Charity & Causes""}]"							
1554659542-1200	https://www.eventbrite.com/d/ma--boston/all-events/?page=30	Baby Care Class with optional Infant CPRBaby Care Class with optional Infant CPR	https://www.eventbrite.com/e/baby-care-class-with-optional-infant-cpr-tickets-57932702272?aff=ebdssbdestsearch	Baby Care Class with optional Infant CPRBaby Care Class with optional Infant CPR	"Thursday, April 11, 2019"	5:30PM	"330 Brookline Ave Boston, MA 02215"	$3-$85	[]							
1554659586-1205	https://www.eventbrite.com/d/ma--boston/all-events/?page=25	All inclusive Childbirth and Infant Care class with optional Infant CPR 9am-5pmAll inclusive Childbirth and Infant Care class with optional Infant CPR 9am...	https://www.eventbrite.com/e/all-inclusive-childbirth-and-infant-care-class-with-optional-infant-cpr-9am-5pm-tickets-56047550733?aff=ebdssbdestsearch	All inclusive Childbirth and Infant Care class with optional Infant CPR 9am...	"Sun, April 7, 2019"	9:00 AM – 5:00 PM EDT	330 Brookline Avenue	$175 – $210	"[{""tags"":""Things to do in Boston, MA""},{""tags"":""Class""},{""tags"":""Family & Education""}]"							
1554659594-1206	https://www.eventbrite.com/d/ma--boston/all-events/?page=24	Beyond the BrewhouseBeyond the Brewhouse	https://www.eventbrite.com/e/beyond-the-brewhouse-tickets-55920098520?aff=ebdssbdestsearch	Beyond the Brewhouse	"Mon, April 8, 2019"	6:00 PM – 7:00 PM EDT	30 Germania Street	$20 – $50	"[{""tags"":""Things to do in Boston, MA""},{""tags"":""Tour""},{""tags"":""Food & Drink""}]"							
1554659693-1217	https://www.eventbrite.com/d/ma--boston/all-events/?page=13	Humanity Needs Dreamers: A Visit With Marie Curie - Digital Theater Humanity Needs Dreamers: A Visit With Marie Curie - Digital Theater	https://www.eventbrite.com/e/humanity-needs-dreamers-a-visit-with-marie-curie-digital-theater-tickets-56927107511?aff=ebdssbdestsearch	Humanity Needs Dreamers: A Visit With Marie Curie - Digital Theater	"Fri, April 19, 2019"	6:30 PM – 8:30 PM EDT	50 Vassar St	Free	"[{""tags"":""Things to do in Cambridge, MA""},{""tags"":""Screening""},{""tags"":""Science & Tech""}]"							
1554659611-1208	https://www.eventbrite.com/d/ma--boston/all-events/?page=22	Tri Sigma Founders DayTri Sigma Founders Day	https://www.eventbrite.com/e/tri-sigma-founders-day-tickets-58043571886?aff=ebdssbdestsearch	Tri Sigma Founders Day	"Sat, April 20, 2019"	10:00 AM – 1:00 PM EDT	525 Tremont Street	Free	"[{""tags"":""Things to do in Boston, MA""},{""tags"":""Other""},{""tags"":""Other""}]"							
1554659382-1183	https://www.eventbrite.com/d/ma--boston/all-events/?page=47	Body Weight Strong Body Weight Strong	https://www.eventbrite.com/e/body-weight-strong-tickets-56209488092?aff=ebdssbdestsearch	Body Weight Strong	"Sat, April 13, 2019"	11:30 AM – 5:30 PM EDT	71 4th Avenue	$85 	"[{""tags"":""Things to do in Needham, MA""},{""tags"":""Seminar""},{""tags"":""Sports & Fitness""}]"							
1554659721-1220	https://www.eventbrite.com/d/ma--boston/all-events/?page=10	Boston:Tillman Honor RunBoston:Tillman Honor Run	https://www.eventbrite.com/e/bostontillman-honor-run-registration-54112775769?aff=ebdssbdestsearch	Boston:Tillman Honor Run	"Sat, April 27, 2019"	10:30 AM – 1:30 PM EDT	NW Corner of Memorial Drive and JFK St	$10 – $40	"[{""tags"":""Things to do in Cambridge, MA""}]"							
1554659683-1216	https://www.eventbrite.com/d/ma--boston/all-events/?page=14	Women's Economic Empowerment Series Part II (Cambridge)Women's Economic Empowerment Series Part II (Cambridge)	https://www.eventbrite.com/e/womens-economic-empowerment-series-part-ii-cambridge-tickets-55579513822?aff=ebdssbdestsearch	Women's Economic Empowerment Series Part II (Cambridge)	"Mon, April 8, 2019"	5:30 PM – 8:00 PM EDT	7 Temple Street	Free	"[{""tags"":""Things to do in Cambridge, MA""},{""tags"":""Seminar""},{""tags"":""Other""}]"							
1554659675-1215	https://www.eventbrite.com/d/ma--boston/all-events/?page=15	2019 Volunteer Expo: Prudential Center2019 Volunteer Expo: Prudential Center	https://www.eventbrite.com/e/2019-volunteer-expo-prudential-center-tickets-59077944723?aff=ebdssbdestsearch	2019 Volunteer Expo: Prudential Center	"Thu, April 11, 2019"	5:00 PM – 7:00 PM EDT	800 Boylston Street	Free	"[{""tags"":""Things to do in Boston, MA""},{""tags"":""Festival""},{""tags"":""Charity & Causes""}]"							
1554659793-1228	https://www.eventbrite.com/d/ma--boston/all-events/?page=2	2019 Annual Tour of the Hidden Gardens of Beacon Hill 2019 Annual Tour of the Hidden Gardens of Beacon Hill	https://www.eventbrite.com/e/2019-annual-tour-of-the-hidden-gardens-of-beacon-hill-tickets-52645938419?aff=ebdssbdestsearch	2019 Annual Tour of the Hidden Gardens of Beacon Hill	"Thu, May 16, 2019"	9:00 AM – 5:00 PM EDT	Corner of Charles and Mt. Vernon streets	$50 – $60	"[{""tags"":""Things to do in Boston, MA""},{""tags"":""Tour""},{""tags"":""Charity & Causes""}]"							
1554659496-1195	https://www.eventbrite.com/d/ma--boston/all-events/?page=35	"MCMPA 2009 ~ Harvard Kennedy School - Reunion Dinner ~ May 18, 2019 MCMPA 2009 ~ Harvard Kennedy School - Reunion Dinner ~ May 18, 2019"	https://www.eventbrite.com/e/mcmpa-2009-harvard-kennedy-school-reunion-dinner-may-18-2019-tickets-59023337391?aff=ebdssbdestsearch	"MCMPA 2009 ~ Harvard Kennedy School - Reunion Dinner ~ May 18, 2019"	"Sat, May 18, 2019"	7:00 PM – 10:00 PM EDT	Parish Hall	$55 	"[{""tags"":""Things to do in Cambridge, MA""}]"							
1554659765-1225	https://www.eventbrite.com/d/ma--boston/all-events/?page=5	Mission Hill Easter Egg HuntMission Hill Easter Egg Hunt	https://www.eventbrite.com/e/mission-hill-easter-egg-hunt-tickets-58446087822?aff=ebdssbdestsearch	Mission Hill Easter Egg Hunt	"Sun, April 21, 2019"	9:30 AM – 11:30 AM EDT	239 Parker Hill Avenue	Free	"[{""tags"":""Things to do in Boston, MA""},{""tags"":""Festival""},{""tags"":""Holiday""}]"							
