web-scraper-order	web-scraper-start-url	url	url-href	title	date	time	venue	price	tags							
1554601185-984	https://www.eventbrite.com/d/il--chicago/all-events/?page=9	Jimmie VaughanJimmie Vaughan	https://www.eventbrite.com/e/jimmie-vaughan-tickets-55484758406?aff=ebdssbdestsearch	Jimmie Vaughan	"Fri, Jun 28, 2019, 8:00 PM CDT"		"Evanston, IL 60202"	$30 – $68	"[{""tags"":""Things to do in Evanston, IL""},{""tags"":""Performance""},{""tags"":""Music""}]"							
1554597112-906	https://www.eventbrite.com/d/il--chicago/all-events/?page=48	Drink and Know Things Trivia!Drink and Know Things Trivia!	https://www.eventbrite.com/e/drink-and-know-things-trivia-tickets-58020289247?aff=ebdssbdestsearch	Drink and Know Things Trivia!	"Thu, April 11, 2019"	7:00 PM – 10:00 PM CDT	Replay Lincoln Park	Free	"[{""tags"":""Things to do in Chicago, IL""},{""tags"":""Game""},{""tags"":""Film & Media""}]"							
1554599503-964	https://www.eventbrite.com/d/il--chicago/all-events/?page=23	Nature Play Space Grand OpeningNature Play Space Grand Opening	https://www.eventbrite.com/e/nature-play-space-grand-opening-tickets-59112282428?aff=ebdssbdestsearch	Nature Play Space Grand Opening	"Sat, April 27, 2019"	10:00 AM – 12:00 PM CDT		Free	"[{""tags"":""Things to do in Chicago, IL""},{""tags"":""Festival""},{""tags"":""Family & Education""}]"							
1554600945-980	https://www.eventbrite.com/d/il--chicago/all-events/?page=11	Chicago Brunch Crawl - Chicago's Boozy Brunch Bar Crawl!Chicago Brunch Crawl - Chicago's Boozy Brunch Bar Crawl!	https://www.eventbrite.com/e/chicago-brunch-crawl-chicagos-boozy-brunch-bar-crawl-tickets-57607290958?aff=ebdssbdestsearch	Chicago Brunch Crawl - Chicago's Boozy Brunch Bar Crawl!	"Sat, June 1, 2019"	10:00 AM – 4:00 PM CDT		$10 	"[{""tags"":""Things to do in Chicago, IL""},{""tags"":""Party""},{""tags"":""Food & Drink""}]"							
1554597121-912	https://www.eventbrite.com/d/il--chicago/all-events/?page=47	Yoga at Begyle Brewing Yoga at Begyle Brewing	https://www.eventbrite.com/e/yoga-at-begyle-brewing-tickets-52991932296?aff=ebdssbdestsearch	Yoga at Begyle Brewing	"Sun, April 7, 2019"	11:00 AM – 12:00 PM CDT	1800 W Cuyler Ave	$20 	"[{""tags"":""Things to do in Chicago, IL""},{""tags"":""Class""},{""tags"":""Sports & Fitness""}]"							
1554600584-977	https://www.eventbrite.com/d/il--chicago/all-events/?page=14	"Chicago Stories: Unpacking Segregation in Chicago, Then and NowChicago Stories: Unpacking Segregation in Chicago, Then and Now"	https://www.eventbrite.com/e/chicago-stories-unpacking-segregation-in-chicago-then-and-now-tickets-56507526533?aff=ebdssbdestsearch	"Chicago Stories: Unpacking Segregation in Chicago, Then and Now"	"Thu, May 2, 2019"	6:00 PM – 7:00 PM CDT		Free	[]							
1554601906-996	https://www.eventbrite.com/d/il--chicago/all-events/?page=3	An Evening with Tan FranceAn Evening with Tan France	https://www.eventbrite.com/e/an-evening-with-tan-france-tickets-58817608049?aff=ebdssbdestsearch	An Evening with Tan France	"Tue, June 11, 2019"	7:00 PM – 9:00 PM CDT	Refunds up to 7 days before event	$30.50 	"[{""tags"":""Things to do in Chicago, IL""},{""tags"":""Appearance""},{""tags"":""Community""}]"							
1554598060-934	https://www.eventbrite.com/d/il--chicago/all-events/?page=35	INDIAN / Immortal Bird / Bloodiest @ The Empty BottleINDIAN / Immortal Bird / Bloodiest @ The Empty Bottle	https://www.eventbrite.com/e/indian-immortal-bird-bloodiest-the-empty-bottle-tickets-59716731351?aff=ebdssbdestsearch	INDIAN / Immortal Bird / Bloodiest @ The Empty Bottle	"Sat, May 18, 2019"	Doors at 8:30 PM CDT	United States	$12 	"[{""tags"":""Things to do in Chicago, IL""},{""tags"":""Music""}]"							
1554602026-997	https://www.eventbrite.com/d/il--chicago/all-events/?page=2	STEVE HACKETT Genesis Revisited ‘SELLING ENGLAND BY THE POUND’STEVE HACKETT Genesis Revisited ‘SELLING ENGLAND BY THE POUND’	https://www.eventbrite.com/e/steve-hackett-genesis-revisited-selling-england-by-the-pound-tickets-55050409256?aff=ebdssbdestsearch	STEVE HACKETT Genesis Revisited ‘SELLING ENGLAND BY THE POUND’	"Sat, October 5, 2019"	8:00 PM – 11:59 PM CDT	Copernicus Center	$38 – $83	"[{""tags"":""Things to do in Chicago, IL""},{""tags"":""Performance""},{""tags"":""Music""}]"							
1554598301-937	https://www.eventbrite.com/d/il--chicago/all-events/?page=33	Cocktails & Humor: A Stand Up Comedy ShowcaseCocktails & Humor: A Stand Up Comedy Showcase	https://www.eventbrite.com/e/cocktails-humor-a-stand-up-comedy-showcase-tickets-58001980485?aff=ebdssbdestsearch	Cocktails & Humor: A Stand Up Comedy Showcase	"Sat, April 6, 2019"	7:00 PM – 9:00 PM CDT	Refunds up to 1 day before event	$15 	"[{""tags"":""Things to do in Chicago, IL""},{""tags"":""Performance""},{""tags"":""Arts""}]"							
