web-scraper-order	web-scraper-start-url	url	url-href	title	date	time	price	tags		venue								
1554595416-432	https://www.eventbrite.com/d/united-kingdom--london/all-events/?page=46	Comedy House Live - Reginald D. Hunter and more!Comedy House Live - Reginald D. Hunter and more!	https://www.eventbrite.co.uk/e/comedy-house-live-reginald-d-hunter-and-more-tickets-56750478208?aff=ebdssbdestsearch	Comedy House Live - Reginald D. Hunter and more!	"Fri, 12 April 2019"	19:00 – 22:30 BST	£18.72	"[{""tags"":""Things to do in London""},{""tags"":""Performance""},{""tags"":""Arts""}]"		United Kingdom								
1554595765-593	https://www.eventbrite.com/d/united-kingdom--london/all-events/?page=11	Richmond Rugby v London IrishRichmond Rugby v London Irish	https://www.eventbrite.co.uk/e/richmond-rugby-v-london-irish-tickets-47843672713?aff=ebdssbdestsearch	Richmond Rugby v London Irish	"Fri, Apr 19, 2019, 3:00 PM BST"		£10.78 – £16.18	"[{""tags"":""Things to do in Richmond""},{""tags"":""Game""},{""tags"":""Sports & Fitness""}]"		Richmond Athletic Ground								
1554595613-519	https://www.eventbrite.com/d/united-kingdom--london/all-events/?page=27	Vintage Market at the MansionVintage Market at the Mansion	https://www.eventbrite.co.uk/e/vintage-market-at-the-mansion-tickets-55576042439?aff=ebdssbdestsearch	Vintage Market at the Mansion	"Mon, 22 April 2019"	10:00 – 16:00 BST	Free	"[{""tags"":""Things to do in Beckenham""},{""tags"":""Festival""},{""tags"":""Home & Lifestyle""}]"		United Kingdom								
1554595504-462	https://www.eventbrite.com/d/united-kingdom--london/all-events/?page=38	New Business For Agency Owners That Hate/Love Sales (London)New Business For Agency Owners That Hate/Love Sales (London)	https://www.eventbrite.co.uk/e/new-business-for-agency-owners-that-hatelove-sales-london-tickets-54369654099?aff=ebdssbdestsearch	New Business For Agency Owners That Hate/Love Sales (London)	"Thu, May 2, 2019"	6:00 PM – 10:30 PM BST	£163.91	"[{""tags"":""Things to do in London""},{""tags"":""Networking""},{""tags"":""Business""}]"		London								
1554595545-481	https://www.eventbrite.com/d/united-kingdom--london/all-events/?page=34	16th Anniversary - OMNIA Band Launch16th Anniversary - OMNIA Band Launch	https://www.eventbrite.com/e/16th-anniversary-omnia-band-launch-tickets-59053213752?aff=ebdssbdestsearch	16th Anniversary - OMNIA Band Launch	"Sat, 4 May 2019, 23:00 –"	"Sun, 5 May 2019, 05:00 BST"	£16.88 – £27.74	"[{""tags"":""Things to do in London""},{""tags"":""Party""},{""tags"":""Music""}]"		London								
1554595804-620	https://www.eventbrite.com/d/united-kingdom--london/all-events/?page=7	GIBA in London: IBB Polonia London - Sheffield HallamGIBA in London: IBB Polonia London - Sheffield Hallam	https://www.eventbrite.co.uk/e/giba-in-london-ibb-polonia-london-sheffield-hallam-tickets-55599570813?aff=ebdssbdestsearch	GIBA in London: IBB Polonia London - Sheffield Hallam	"Sun, 14 April 2019"	16:00 – 19:00 BST	"£2.98 – £1,000"	"[{""tags"":""Things to do in London""},{""tags"":""Game""},{""tags"":""Sports & Fitness""}]"		Ledrington Road								
1554595515-466	https://www.eventbrite.com/d/united-kingdom--london/all-events/?page=37	Barts and Queen Mary Science Festival 19th June 2019Barts and Queen Mary Science Festival 19th June 2019	https://www.eventbrite.co.uk/e/barts-and-queen-mary-science-festival-19th-june-2019-tickets-51512537386?aff=ebdssbdestsearch	Barts and Queen Mary Science Festival 19th June 2019	"Wed, 19 June 2019"	10:30 – 15:00 BST	Free	"[{""tags"":""Things to do in London United Kingdom""},{""tags"":""Festival""},{""tags"":""Science & Tech""}]"		The Octagon								
1554595384-414	https://www.eventbrite.com/d/united-kingdom--london/all-events/?page=49	AFRICA FASHION WEEK LONDON 2019 - CATWALK SHOW TICKETSAFRICA FASHION WEEK LONDON 2019 - CATWALK SHOW TICKETS	https://www.eventbrite.co.uk/e/africa-fashion-week-london-2019-catwalk-show-tickets-tickets-55033290052?aff=ebdssbdestsearch	AFRICA FASHION WEEK LONDON 2019 - CATWALK SHOW TICKETS	"Sat, 10 August 2019"	12:00 – 20:00 BST	£27.24	"[{""tags"":""Things to do in London""},{""tags"":""Festival""},{""tags"":""Fashion""}]"		United Kingdom								
1554595678-549	https://www.eventbrite.com/d/united-kingdom--london/all-events/?page=20	The Annual Debate 2019The Annual Debate 2019	https://www.eventbrite.co.uk/e/the-annual-debate-2019-tickets-54640987665?aff=ebdssbdestsearch	The Annual Debate 2019	"Wed, 5 June 2019"	08:00 – 23:00 BST	£720 – £960	"[{""tags"":""Things to do in London""},{""tags"":""Conference""},{""tags"":""Business""}]"		113 Chancery Lane								
1554595585-505	https://www.eventbrite.com/d/united-kingdom--london/all-events/?page=30	BCBN Muslim Mental Health ConferenceBCBN Muslim Mental Health Conference	https://www.eventbrite.co.uk/e/bcbn-muslim-mental-health-conference-tickets-56269075319?aff=ebdssbdestsearch	BCBN Muslim Mental Health Conference	"Mon, 29 April 2019"	09:30 – 16:00 BST	£10 – £35	"[{""tags"":""Things to do in London""},{""tags"":""Conference""},{""tags"":""Charities & Causes""}]"		E15 4JE								
1554595438-441	https://www.eventbrite.com/d/united-kingdom--london/all-events/?page=44	The Grand ExpeditionThe Grand Expedition	https://www.eventbrite.co.uk/e/the-grand-expedition-tickets-56576642260?aff=ebdssbdestsearch	The Grand Expedition	"Tue, 21 May 2019"	19:00 – 23:00 BST	£63.18	"[{""tags"":""Things to do in London""}]"		Secret Location								
1554595843-642	https://www.eventbrite.com/d/united-kingdom--london/all-events/?page=3	Women's Health Live: Day Two - Saturday 4th May 2019Women's Health Live: Day Two - Saturday 4th May 2019	https://www.eventbrite.co.uk/e/womens-health-live-day-two-saturday-4th-may-2019-tickets-53130596043?aff=ebdssbdestsearch	Women's Health Live: Day Two - Saturday 4th May 2019	"Sat, 4 May 2019"	10:00 – 18:00 BST	£19.26	"[{""tags"":""Things to do in London""},{""tags"":""Festival""},{""tags"":""Health""}]"		London								
1554595814-625	https://www.eventbrite.com/d/united-kingdom--london/all-events/?page=6	Tech London Advocates: Investor Showcase 2.0Tech London Advocates: Investor Showcase 2.0	https://www.eventbrite.co.uk/e/tech-london-advocates-investor-showcase-20-tickets-55560208078?aff=ebdssbdestsearch	Tech London Advocates: Investor Showcase 2.0	"Thu, 2 May 2019"	15:00 – 19:00 BST	£20	"[{""tags"":""Things to do in London""},{""tags"":""Conference""},{""tags"":""Business""}]"		Here East								
1554595755-590	https://www.eventbrite.com/d/united-kingdom--london/all-events/?page=12	The Spirit and Purpose of Geography- 100 years of Cambridge GeographyThe Spirit and Purpose of Geography- 100 years of Cambridge Geography	https://www.eventbrite.co.uk/e/the-spirit-and-purpose-of-geography-100-years-of-cambridge-geography-tickets-53947403135?aff=ebdssbdestsearch	The Spirit and Purpose of Geography- 100 years of Cambridge Geography	"Tue, 9 April 2019"	18:00 – 19:30 BST	Free	"[{""tags"":""Things to do in London""},{""tags"":""Seminar""},{""tags"":""Other""}]"		SW7 2AR								
1554595716-568	https://www.eventbrite.com/d/united-kingdom--london/all-events/?page=16	#itelli2019 Conference#itelli2019 Conference	https://www.eventbrite.co.uk/e/itelli2019-conference-registration-54340290271?aff=ebdssbdestsearch	#itelli2019 Conference	"Wed, 15 May 2019"	08:30 – 17:30 BST	Free	"[{""tags"":""Things to do in London""},{""tags"":""Conference""},{""tags"":""Science & Tech""}]"		"View Map
									View Map"								
1554595834-639	https://www.eventbrite.com/d/united-kingdom--london/all-events/?page=4	Youth Marketing Strategy London 2019 Youth Marketing Strategy London 2019	https://www.eventbrite.co.uk/e/youth-marketing-strategy-london-2019-tickets-49170726968?aff=ebdssbdestsearch	Youth Marketing Strategy London 2019	"Tue, 16 Apr 2019, 08:00 –"	"Wed, 17 Apr 2019, 11:00 BST"	"£900 – £1,374"	"[{""tags"":""Things to do in London""},{""tags"":""Conference""},{""tags"":""Other""}]"		"View Map
									View Map"								
1554595630-524	https://www.eventbrite.com/d/united-kingdom--london/all-events/?page=25	National Freelancers Day 2019National Freelancers Day 2019	https://www.eventbrite.com/e/national-freelancers-day-2019-tickets-51872836049?aff=ebdssbdestsearch	National Freelancers Day 2019	"Thu, June 20, 2019"	10:00 AM – 5:30 PM BST	£20 – £55	"[{""tags"":""Things to do in London""},{""tags"":""Networking""},{""tags"":""Business""}]"		London								
1554595594-509	https://www.eventbrite.com/d/united-kingdom--london/all-events/?page=29	Startup FuneralStartup Funeral	https://www.eventbrite.co.uk/e/startup-funeral-tickets-56507735157?aff=ebdssbdestsearch	Startup Funeral	"Tue, 16 April 2019"	18:30 – 20:30 BST	Free	"[{""tags"":""Things to do in Shoreditch""},{""tags"":""Seminar""},{""tags"":""Science & Tech""}]"		4-5 Bonhill Street								
1554595471-453	https://www.eventbrite.com/d/united-kingdom--london/all-events/?page=41	April Meetup - Designing for VoiceApril Meetup - Designing for Voice	https://www.eventbrite.co.uk/e/april-meetup-designing-for-voice-tickets-59558488041?aff=ebdssbdestsearch	April Meetup - Designing for Voice	"Thu, 11 April 2019"	18:30 – 21:00 BST	£10.72	"[{""tags"":""Things to do in London""},{""tags"":""Networking""},{""tags"":""Business""}]"		"1 Principal Place, Worship Street"								
1554595393-421	https://www.eventbrite.com/d/united-kingdom--london/all-events/?page=48	Migration Lates: Queer MigrationsMigration Lates: Queer Migrations	https://www.eventbrite.co.uk/e/migration-lates-queer-migrations-tickets-59007893197?aff=ebdssbdestsearch	Migration Lates: Queer Migrations	"Thu, 11 April 2019"	18:00 – 21:30 BST	Free	"[{""tags"":""Things to do in London""},{""tags"":""Performance""},{""tags"":""Film & Media""}]"		"View Map
									View Map"								
