web-scraper-order	web-scraper-start-url	url	url-href	title	date	time	price	tags						
1554594824-347	https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=39	SHAKE WITH ME - Team Fox LA Screening + Reception SHAKE WITH ME - Team Fox LA Screening + Reception	https://www.eventbrite.com/e/shake-with-me-team-fox-la-screening-reception-tickets-58416478259?aff=ebdssbdestsearch	SHAKE WITH ME - Team Fox LA Screening + Reception	"Tue, April 16, 2019"	7:00 PM – 10:00 PM PDT	$30 	"[{""tags"":""Things to do in Beverly Hills, CA""},{""tags"":""Screening""},{""tags"":""Charity & Causes""}]"						
1554594692-310	https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=48	Making Connections for Reentry Housing  Making Connections for Reentry Housing	https://www.eventbrite.com/e/making-connections-for-reentry-housing-tickets-56422398914?aff=ebdssbdestsearch	Making Connections for Reentry Housing	"Thu, April 18, 2019"	11:00 AM – 2:00 PM PDT	Free	"[{""tags"":""Things to do in Enter Parking Lot On Gladys Street""},{""tags"":""Networking""},{""tags"":""Business""}]"						
1554594840-355	https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=37	Supervising for SuccessSupervising for Success	https://www.eventbrite.com/e/supervising-for-success-tickets-56946774335?aff=ebdssbdestsearch	Supervising for Success	"Tue, April 9, 2019"	9:30 AM – 4:00 PM PDT	$195 	"[{""tags"":""Things to do in Los Angeles, CA""},{""tags"":""Seminar""},{""tags"":""Business""}]"						
1554594983-387	https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=6	The Help Group's Special Needs Resource FairThe Help Group's Special Needs Resource Fair	https://www.eventbrite.com/e/the-help-groups-special-needs-resource-fair-tickets-53933128439?aff=ebdssbdestsearch	The Help Group's Special Needs Resource Fair	"Sun, April 7, 2019"	11:00 AM – 2:00 PM PDT	Free	"[{""tags"":""Things to do in Sherman Oaks, CA""},{""tags"":""Festival""},{""tags"":""Family & Education""}]"						
1554594801-335	https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=42	Free Film Screening at UCLA: Women's Voices: Heaven & Miriam Lies- Incl. Reception and Q&A with both directorsFree Film Screening at UCLA: Women's Voices: Heaven & Miriam Lies- Incl. Re...	https://www.eventbrite.com/e/free-film-screening-at-ucla-womens-voices-heaven-miriam-lies-incl-reception-and-qa-with-both-tickets-57833742280?aff=ebdssbdestsearch	Free Film Screening at UCLA: Women's Voices: Heaven & Miriam Lies- Incl. Re...	"Tue, April 16, 2019"	6:30 PM – 10:30 PM PDT	Free	"[{""tags"":""Things to do in Los Angeles, CA""},{""tags"":""Screening""},{""tags"":""Film & Media""}]"						
1554595002-399	https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=4	JSTJRJSTJR	https://www.eventbrite.com/e/jstjr-tickets-59799152876?aff=ebdssbdestsearch	JSTJR	"Sat, Jun 1, 2019, 8:00 PM –"	"Sun, Jun 2, 2019, 2:00 AM PDT"	$20 – $90	"[{""tags"":""Things to do in Los Angeles, CA""},{""tags"":""Performance""},{""tags"":""Music""}]"						
1554594849-364	https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=36	Tighten Up Your With Liftique: New Medical Advances to Firm and Smooth Your Skin WITHOUT Surgery- at KFI studios in BurbankTighten Up Your With Liftique: New Medical Advances to Firm and Smooth Your...	https://www.eventbrite.com/e/tighten-up-your-with-liftique-new-medical-advances-to-firm-and-smooth-your-skin-without-surgery-at-registration-58920467705?aff=ebdssbdestsearch	Tighten Up Your With Liftique: New Medical Advances to Firm and Smooth Your...	"Sat, April 13, 2019"	10:00 AM – 12:00 PM PDT	Free	"[{""tags"":""Things to do in Free Parking, CA""},{""tags"":""Class""},{""tags"":""Health""}]"						
1554594711-324	https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=46	KritzerlandKritzerland	https://www.eventbrite.com/e/kritzerland-tickets-59010181040?aff=ebdssbdestsearch	Kritzerland	"Sun, Apr 7, 2019, 7:00 PM PDT"		$20 	"[{""tags"":""Things to do in Studio City, CA""},{""tags"":""Performance""},{""tags"":""Arts""}]"						
1554594702-315	https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=47	"The Entrance Band, Poppy Jean Crawford, DJ Mr PharmacistThe Entrance Band, Poppy Jean Crawford, DJ Mr Pharmacist"	https://www.eventbrite.com/e/the-entrance-band-poppy-jean-crawford-dj-mr-pharmacist-tickets-59849250720?aff=ebdssbdestsearch	"The Entrance Band, Poppy Jean Crawford, DJ Mr Pharmacist"	"Fri, May 3, 2019"	8:00 PM – 11:30 PM PDT	$15 – $20	"[{""tags"":""Things to do in Los Angeles, CA""},{""tags"":""Performance""},{""tags"":""Music""}]"						
1554594969-378	https://www.eventbrite.com/d/ca--los-angeles/all-events/?page=8	Arcadia Invitational 2019 - Spectator AdmissionsArcadia Invitational 2019 - Spectator Admissions	https://www.eventbrite.com/e/arcadia-invitational-2019-spectator-admissions-tickets-58819704319?aff=ebdssbdestsearch	Arcadia Invitational 2019 - Spectator Admissions	"Fri, Apr 5, 2019, 3:00 PM –"	"Sat, Apr 6, 2019, 10:00 PM PDT"	$5 – $25	"[{""tags"":""Things to do in Arcadia, CA""},{""tags"":""Game""},{""tags"":""Sports & Fitness""}]"						
