web-scraper-order	web-scraper-start-url	url	url-href	title	date	time	price	tags	
1554660457-1257	https://www.eventbrite.com/d/fl--miami/all-events/?page=22	Superflu @ Treehouse MiamiSuperflu @ Treehouse Miami	https://www.eventbrite.com/e/superflu-treehouse-miami-tickets-58866204402?aff=ebdssbdestsearch	Superflu @ Treehouse Miami	"Fri, Apr 19, 2019, 11:00 PM –"	"Sat, Apr 20, 2019, 5:00 AM EDT"	$0 – $10	"[{""tags"":""Things to do in Miami Beach, FL""},{""tags"":""Performance""},{""tags"":""Music""}]"	
1554660384-1249	https://www.eventbrite.com/d/fl--miami/all-events/?page=30	Regis House Havana Nights Fundraiser GalaRegis House Havana Nights Fundraiser Gala	https://www.eventbrite.com/e/regis-house-havana-nights-fundraiser-gala-tickets-57813025315?aff=ebdssbdestsearch	Regis House Havana Nights Fundraiser Gala	"Sat, Apr 13, 2019, 6:30 PM EDT"		$75 	"[{""tags"":""Things to do in Miami, FL""},{""tags"":""Gala""}]"	
1554660464-1258	https://www.eventbrite.com/d/fl--miami/all-events/?page=21	Secrets to Meditation in Key Biscayne - An Introduction to The Happiness ProgramSecrets to Meditation in Key Biscayne - An Introduction to The Happiness Pr...	https://www.eventbrite.com/e/secrets-to-meditation-in-key-biscayne-an-introduction-to-the-happiness-program-tickets-59246882019?aff=ebdssbdestsearch	Secrets to Meditation in Key Biscayne - An Introduction to The Happiness Pr...	"Mon, April 8, 2019"	7:40 PM – 9:00 PM EDT	Free	"[{""tags"":""Things to do in Key Biscayne, FL""},{""tags"":""Seminar""},{""tags"":""Health""}]"	
1554660246-1234	https://www.eventbrite.com/d/fl--miami/all-events/?page=45	The Beach Is A BorderThe Beach Is A Border	https://www.eventbrite.com/e/the-beach-is-a-border-tickets-58904611278?aff=ebdssbdestsearch	The Beach Is A Border	"Sat, April 20, 2019"	7:30 AM – 11:00 AM EDT	$5 	"[{""tags"":""Things to do in Miami Beach, FL""},{""tags"":""Class""},{""tags"":""Arts""}]"	
1554660359-1246	https://www.eventbrite.com/d/fl--miami/all-events/?page=33	Redoma XV - Con Las Amigas Fundadoras (2019)Redoma XV - Con Las Amigas Fundadoras (2019)	https://www.eventbrite.com/e/redoma-xv-con-las-amigas-fundadoras-2019-tickets-53882133913?aff=ebdssbdestsearch	Redoma XV - Con Las Amigas Fundadoras (2019)	"Fri, May 24, 2019, 7:00 PM –"	"Sat, May 25, 2019, 10:00 AM EDT"	$30 – $300	"[{""tags"":""Things to do in Hollywood, FL""},{""tags"":""Conference""},{""tags"":""Spirituality""}]"	
1554660343-1244	https://www.eventbrite.com/d/fl--miami/all-events/?page=35	"Eighth  Annual Omar Pasalodos, M.D., Memorial LectureEighth  Annual Omar Pasalodos, M.D., Memorial Lecture"	https://www.eventbrite.com/e/eighth-annual-omar-pasalodos-md-memorial-lecture-tickets-58665623459?aff=ebdssbdestsearch	"Eighth  Annual Omar Pasalodos, M.D., Memorial Lecture"	"Thu, April 11, 2019"	5:30 PM – 8:00 PM EDT	Free	"[{""tags"":""Things to do in Miami, FL""},{""tags"":""Conference""},{""tags"":""Health""}]"	
1554660629-1278	https://www.eventbrite.com/d/fl--miami/all-events/?page=1	FREE TICKETS! MIAMI IMPROV 4/9 Stand Up Comedy ShowFREE TICKETS! MIAMI IMPROV 4/9 Stand Up Comedy Show	https://www.eventbrite.com/e/free-tickets-miami-improv-49-stand-up-comedy-show-tickets-57858922595?aff=ebdssbdestsearch	FREE TICKETS! MIAMI IMPROV 4/9 Stand Up Comedy Show	"Tue, April 9, 2019"	8:00 PM – 10:00 PM EDT	Free	"[{""tags"":""Things to do in Doral, FL""},{""tags"":""Performance""},{""tags"":""Arts""}]"	
1554660571-1271	https://www.eventbrite.com/d/fl--miami/all-events/?page=8	Inspire305 Gives Back at Opa-locka Urban FarmInspire305 Gives Back at Opa-locka Urban Farm	https://www.eventbrite.com/e/inspire305-gives-back-at-opa-locka-urban-farm-tickets-58024081590?aff=ebdssbdestsearch	Inspire305 Gives Back at Opa-locka Urban Farm	"Sat, April 13, 2019"	10:00 AM – 1:00 PM EDT	Free	"[{""tags"":""Things to do in Opa-Locka, FL""},{""tags"":""Charity & Causes""}]"	
1554660582-1272	https://www.eventbrite.com/d/fl--miami/all-events/?page=7	GLOBAL BELLY DANCE STARS LIVE IN MIAMI!GLOBAL BELLY DANCE STARS LIVE IN MIAMI!	https://www.eventbrite.com/e/global-belly-dance-stars-live-in-miami-tickets-55043453451?aff=ebdssbdestsearch	GLOBAL BELLY DANCE STARS LIVE IN MIAMI!	"Sat, April 27, 2019"	8:00 PM – 11:00 PM EDT	$30 – $50	"[{""tags"":""Things to do in Miami, FL""},{""tags"":""Performance""},{""tags"":""Arts""}]"	
1554660236-1233	https://www.eventbrite.com/d/fl--miami/all-events/?page=46	Miami 2019 Career Fair.  Get Hired!Miami 2019 Career Fair.  Get Hired!	https://www.eventbrite.com/e/miami-2019-career-fair-get-hired-tickets-27020664535?aff=ebdssbdestsearch	Miami 2019 Career Fair.  Get Hired!	"Mon, June 24, 2019"	9:30 AM – 12:30 PM EDT	Free	"[{""tags"":""Things to do in Miami, FL""},{""tags"":""Networking""},{""tags"":""Business""}]"	
