event-id	url	title	date	time	price	tags	Statie/City
	https://www.eventbrite.com/e/xoxo-and-cecil-russell-presents-matinee-pervert-at-mezzanine-saturday-tickets-59124084729?aff=ebdssbdestsearch	XOXO and Cecil Russell presents Matinee PERVERT at MEZZANINE-SaturdayXOXO and Cecil Russell presents Matinee PERVERT at MEZZANINE-Saturday	"Sat, Sep 28, 2019, 10:00 PM PDT"		$65 – $85	"[{""tags"":""Things to do in San Francisco, CA""},{""tags"":""Performance""},{""tags"":""Music""}]"	San Francisco
	https://www.eventbrite.com/e/mike-love-and-sam-johnson-tickets-56952696047?aff=ebdssbdestsearch	Mike Love and Sam JohnsonMike Love and Sam Johnson	"Wed, Apr 24, 2019, 8:00 PM –"	"Thu, Apr 25, 2019, 2:00 AM PDT"	$20 – $250	"[{""tags"":""Things to do in Pacifica, CA""},{""tags"":""Performance""},{""tags"":""Music""}]"	San Francisco
	https://www.eventbrite.com/e/womendockercon-summit-tickets-54735240578?aff=ebdssbdestsearch	Women@DockerCon SummitWomen@DockerCon Summit	"Mon, April 29, 2019"	12:00 PM – 5:00 PM PDT	$20 	"[{""tags"":""Things to do in San Francisco, CA""}]"	San Francisco
	https://www.eventbrite.com/e/sfs-desi-comedy-night-tickets-59275603927?aff=ebdssbdestsearch	SF's Desi Comedy NightSF's Desi Comedy Night	"Sat, April 13, 2019"	8:30 PM – 10:00 PM PDT	$0 – $10	"[{""tags"":""Things to do in San Francisco, CA""},{""tags"":""Performance""},{""tags"":""Arts""}]"	San Francisco
	https://www.eventbrite.com/e/accounting-department-graduation-celebration-2019-tickets-59031028395?aff=ebdssbdestsearch	Accounting Department Graduation Celebration 2019!Accounting Department Graduation Celebration 2019!	"Mon, May 27, 2019"	10:00 AM – 2:00 PM PDT	$0 – $50	"[{""tags"":""Things to do in San Francisco, CA""},{""tags"":""Other""},{""tags"":""Other""}]"	San Francisco
	https://www.eventbrite.com/e/earworm-in-the-hall-of-the-mountain-king-tickets-59253676341?aff=ebdssbdestsearch	Earworm! In the Hall of the Mountain KingEarworm! In the Hall of the Mountain King	"Sat, April 20, 2019"	8:00 PM – 11:59 PM PDT	Free	"[{""tags"":""Things to do in San Francisco, CA""},{""tags"":""Performance""},{""tags"":""Arts""}]"	San Francisco
	https://www.eventbrite.com/e/willie-brown-annual-commonwealth-club-lecture-tickets-56011951254?aff=ebdssbdestsearch	Willie Brown: Annual Commonwealth Club LectureWillie Brown: Annual Commonwealth Club Lecture	"Thu, May 2, 2019"	6:30 PM – 7:30 PM PDT	$15 	"[{""tags"":""Things to do in San Francisco, CA""},{""tags"":""Seminar""},{""tags"":""Government""}]"	San Francisco
	https://www.eventbrite.com/e/bitcoin-2019-registration-54302160223?aff=ebdssbdestsearch	Bitcoin 2019Bitcoin 2019	"Tue, Jun 25, 2019, 9:00 AM –"	"Wed, Jun 26, 2019, 5:00 PM PDT"	$149 	"[{""tags"":""Things to do in San Francisco, CA""},{""tags"":""Conference""},{""tags"":""Business""}]"	San Francisco
	https://www.eventbrite.com/e/vegan-mob-gumbo-social-tickets-58820128588?aff=ebdssbdestsearch	Vegan Mob Gumbo SocialVegan Mob Gumbo Social	"Sat, April 13, 2019"	7:00 PM – 9:00 PM PDT	$40 	"[{""tags"":""Things to do in Richmond, CA""},{""tags"":""Party""},{""tags"":""Food & Drink""}]"	San Francisco
	https://www.eventbrite.com/e/hrtechtank-san-francisco-2019-tickets-59686431724?aff=ebdssbdestsearch	HRTechTank San Francisco 2019HRTechTank San Francisco 2019	"Tue, April 16, 2019"	9:00 AM – 5:00 PM PDT	€ 399	"[{""tags"":""Things to do in San Francisco, CA""},{""tags"":""Conference""},{""tags"":""Business""}]"	San Francisco
	https://www.eventbrite.com/e/mind-the-product-san-francisco-2019-leadership-forum-tickets-52864508167?aff=ebdssbdestsearch	Mind the Product San Francisco 2019 Leadership ForumMind the Product San Francisco 2019 Leadership Forum	"Mon, July 15, 2019"	1:00 PM – 6:00 PM PDT		"[{""tags"":""Things to do in San Francisco, CA""},{""tags"":""Conference""},{""tags"":""Business""}]"	San Francisco
	https://www.eventbrite.com/e/king-of-indies-koi9-tickets-59714403388?aff=ebdssbdestsearch	KING OF INDIES #KOI9KING OF INDIES #KOI9	"Fri, July 5, 2019"	7:30 PM – 11:00 PM PDT	$25 – $75	"[{""tags"":""Things to do in Daly City, CA""},{""tags"":""Attraction""},{""tags"":""Sports & Fitness""}]"	San Francisco
	https://www.eventbrite.com/e/computer-love-thursday-at-love-propaganda-series-tickets-48466915850?aff=ebdssbdestsearch	Computer Love Thursday at Love + Propaganda (series)Computer Love Thursday at Love + Propaganda (series)	"Thu, Apr 11, 2019, 9:30 PM –"	"Fri, Apr 12, 2019, 2:00 AM PDT"	Free	"[{""tags"":""Things to do in San Francisco, CA""},{""tags"":""Performance""},{""tags"":""Music""}]"	San Francisco
	https://www.eventbrite.com/e/soak-fenne-lily-tickets-58341440820?aff=ebdssbdestsearch	"SOAK., Fenne LilySOAK., Fenne Lily"	"Sun, June 9, 2019"	7:30 PM – 11:30 PM PDT	$15 – $18	"[{""tags"":""Things to do in San Francisco, CA""},{""tags"":""Performance""},{""tags"":""Music""}]"	San Francisco
