web-scraper-order,web-scraper-start-url,url,url-href,title,venue,date,time,tags,price
"1554579127-302","https://www.eventbrite.com/d/united-states--new-york/all-events/?page=34","SOCA IN PARK SLOPE REDEMPTION SOCA IN PARK SLOPE REDEMPTION","https://www.eventbrite.com/e/soca-in-park-slope-redemption-tickets-59744525484?aff=ebdssbdestsearch","SOCA IN PARK SLOPE REDEMPTION","The Paper Box","Sat, Apr 6, 2019, 10:30 PM –","Sun, Apr 7, 2019, 4:30 AM EDT","[{""tags"":""Things to do in Brooklyn, NY""},{""tags"":""Party""},{""tags"":""Music""}]","$0 – $20"
"1554576273-255","https://www.eventbrite.com/d/united-states--new-york/all-events/?page=37","CEG Presents Golden Gate Wingmen -  John Kadlecik, Jeff Chimenti, Jay Lane, Reed MathisCEG Presents Golden Gate Wingmen -  John Kadlecik, Jeff Chimenti, Jay Lane,...","https://www.eventbrite.com/e/ceg-presents-golden-gate-wingmen-john-kadlecik-jeff-chimenti-jay-lane-reed-mathis-tickets-55941759308?aff=ebdssbdestsearch","CEG Presents Golden Gate Wingmen -  John Kadlecik, Jeff Chimenti, Jay Lane,...","(Le) Poisson Rouge","Sat, April 13, 2019","6:30 PM – 10:00 PM EDT","[{""tags"":""Things to do in New York, NY""},{""tags"":""Performance""},{""tags"":""Music""}]","$35 – $50"
"1554575561-116","https://www.eventbrite.com/d/united-states--new-york/all-events/?page=44","HBK'S HAUS OF VIBESHBK'S HAUS OF VIBES","https://www.eventbrite.com/e/hbks-haus-of-vibes-tickets-57672082752?aff=ebdssbdestsearch","HBK'S HAUS OF VIBES","Cirque LI","Fri, Apr 26, 2019, 8:00 PM –","Sat, Apr 27, 2019, 2:00 AM EDT","[{""tags"":""Things to do in Farmingdale, NY""},{""tags"":""Performance""},{""tags"":""Film & Media""}]","$40 – $150"
"1554575634-131","https://www.eventbrite.com/d/united-states--new-york/all-events/?page=43","2019 Power Up2019 Power Up","https://www.eventbrite.com/e/2019-power-up-tickets-56038737372?aff=ebdssbdestsearch","null","null","null","null","[]","null"
"1554578041-285","https://www.eventbrite.com/d/united-states--new-york/all-events/?page=35","SISTER ACT - CAST B - Broadway Workshop & Project Broadway 2019 Main StageSISTER ACT - CAST B - Broadway Workshop & Project Broadway 2019 Main Stage","https://www.eventbrite.com/e/sister-act-cast-b-broadway-workshop-project-broadway-2019-main-stage-tickets-58442165089?aff=ebdssbdestsearch","SISTER ACT - CAST B - Broadway Workshop & Project Broadway 2019 Main Stage","The Riverside Theatre","Sat, May 4, 2019","8:00 PM – 10:30 PM EDT","[{""tags"":""Things to do in New York, NY""},{""tags"":""Performance""},{""tags"":""Arts""}]","$25 – $40"
"1554575665-138","https://www.eventbrite.com/d/united-states--new-york/all-events/?page=43","Open House at the Banana FarmOpen House at the Banana Farm","https://www.eventbrite.com/e/open-house-at-the-banana-farm-tickets-52667836918?aff=ebdssbdestsearch","Open House at the Banana Farm","The Banana Farm - Michel et Augustin","Thu, May 2, 2019","7:00 PM – 8:30 PM EDT","[{""tags"":""Things to do in Brooklyn, NY""},{""tags"":""Party""},{""tags"":""Food & Drink""}]","Free"
"1554575656-136","https://www.eventbrite.com/d/united-states--new-york/all-events/?page=43","John Moses Photography Pro Photo Ops - SATURDAY ONLYJohn Moses Photography Pro Photo Ops - SATURDAY ONLY","https://www.eventbrite.com/e/john-moses-photography-pro-photo-ops-saturday-only-tickets-59349120818?aff=ebdssbdestsearch","John Moses Photography Pro Photo Ops - SATURDAY ONLY","Hilton Midtown Hotel","Sat, April 6, 2019","10:00 AM – 3:00 PM EDT","[{""tags"":""Things to do in New York City, NY""},{""tags"":""Other""},{""tags"":""Sports & Fitness""}]","$30 – $75"
"1554575988-202","https://www.eventbrite.com/d/united-states--new-york/all-events/?page=39","Radio Woodstock Presents...TURKUAZ with Brass AgainstRadio Woodstock Presents...TURKUAZ with Brass Against","https://www.eventbrite.com/e/radio-woodstock-presentsturkuaz-with-brass-against-tickets-57041025242?aff=ebdssbdestsearch","Radio Woodstock Presents...TURKUAZ with Brass Against","BSP Kingston {Back Room Theater}","Fri, Apr 19, 2019, 8:00 PM EDT","","[{""tags"":""Things to do in Kingston, NY""},{""tags"":""Performance""},{""tags"":""Music""}]","$25 – $30"
"1554575502-102","https://www.eventbrite.com/d/united-states--new-york/all-events/?page=44","Easter Brunch at Centennial Golf ClubEaster Brunch at Centennial Golf Club","https://www.eventbrite.com/e/easter-brunch-at-centennial-golf-club-tickets-58501304978?aff=ebdssbdestsearch","Easter Brunch at Centennial Golf Club","Centennial Golf Club","Sun, April 21, 2019","11:00 AM – 2:00 PM EDT","[{""tags"":""Things to do in Carmel Hamlet, NY""},{""tags"":""Party""},{""tags"":""Food & Drink""}]","$0 – $45"
"1554575545-112","https://www.eventbrite.com/d/united-states--new-york/all-events/?page=44","Easter Brunch Buffet - J's White ElephantEaster Brunch Buffet - J's White Elephant","https://www.eventbrite.com/e/easter-brunch-buffet-js-white-elephant-tickets-58684241145?aff=ebdssbdestsearch","Easter Brunch Buffet - J's White Elephant","J's White Elephant","Sun, April 21, 2019","10:30 AM – 2:30 PM EDT","[{""tags"":""Things to do in Lackawanna, NY""},{""tags"":""Gala""},{""tags"":""Holiday""}]","Free"
"1554575553-114","https://www.eventbrite.com/d/united-states--new-york/all-events/?page=44","Is Democracy in Crisis? A Talk By Fareed ZakariaIs Democracy in Crisis? A Talk By Fareed Zakaria","https://www.eventbrite.com/e/is-democracy-in-crisis-a-talk-by-fareed-zakaria-tickets-59128073660?aff=ebdssbdestsearch","Is Democracy in Crisis? A Talk By Fareed Zakaria","Proshansky Auditorium","Thu, April 18, 2019","6:30 PM – 7:30 PM EDT","[{""tags"":""Things to do in New York, NY""}]","Free"
"1554577800-281","https://www.eventbrite.com/d/united-states--new-york/all-events/?page=35","OUR ECONOMY!  Economic Democracy & System ChangeOUR ECONOMY!  Economic Democracy & System Change","https://www.eventbrite.com/e/our-economy-economic-democracy-system-change-tickets-55582563945?aff=ebdssbdestsearch","OUR ECONOMY!  Economic Democracy & System Change","CUNY School of Labor & Urban Studies","Fri, April 12, 2019","9:00 AM – 6:00 PM EDT","[{""tags"":""Things to do in New York, NY""}]","Free"
"1554575599-124","https://www.eventbrite.com/d/united-states--new-york/all-events/?page=43","Where the Jobs Are: MusicWhere the Jobs Are: Music","https://www.eventbrite.com/e/where-the-jobs-are-music-tickets-58314317694?aff=ebdssbdestsearch","null","null","null","null","[]","null"
"1554576230-246","https://www.eventbrite.com/d/united-states--new-york/all-events/?page=37","Orville Peck @ Elsewhere (Zone One)Orville Peck @ Elsewhere (Zone One)","https://www.eventbrite.com/e/orville-peck-elsewhere-zone-one-tickets-53564367465?aff=ebdssbdestsearch","Orville Peck @ Elsewhere (Zone One)","Elsewhere (Zone One)","Fri, April 26, 2019","Doors at 6:00 PM EDT","[{""tags"":""Things to do in Brooklyn, NY""},{""tags"":""Music""}]","$10"
