web-scraper-order,web-scraper-start-url,url,url-href,title,date,time,venue,price,tags
"1554658915-1135","https://www.eventbrite.com/d/ny--new-york/all-events/?page=46","Make Pizza Drink Wine: FiDi (Thursdays & Fridays)Make Pizza Drink Wine: FiDi (Thursdays & Fridays)","https://www.eventbrite.com/e/make-pizza-drink-wine-fidi-thursdays-fridays-tickets-55554002517?aff=ebdssbdestsearch","Make Pizza Drink Wine: FiDi (Thursdays & Fridays)","Fri, April 12, 2019","7:00 PM – 9:00 PM EDT","77 Fulton Street","$85","[{""tags"":""Things to do in New York, NY""},{""tags"":""Class""},{""tags"":""Food & Drink""}]"
"1554659271-1177","https://www.eventbrite.com/d/ny--new-york/all-events/?page=4","Easter Kids Party Cruise Hosted By The Easter Bunny Easter Kids Party Cruise Hosted By The Easter Bunny","https://www.eventbrite.com/e/easter-kids-party-cruise-hosted-by-the-easter-bunny-tickets-54452181942?aff=ebdssbdestsearch","Easter Kids Party Cruise Hosted By The Easter Bunny","Sat, April 20, 2019","6:00 PM – 8:30 PM EDT","2430 FDR Drive","$35 – $700","[{""tags"":""Things to do in New York, NY""},{""tags"":""Party""},{""tags"":""Auto, Boat & Air""}]"
"1554659102-1158","https://www.eventbrite.com/d/ny--new-york/all-events/?page=23","The Get DownThe Get Down","https://www.eventbrite.com/e/the-get-down-tickets-57290694008?aff=ebdssbdestsearch","The Get Down","Thu, April 18, 2019","6:00 PM – 10:00 PM EDT","2 Wyckoff Avenue","$5 – $25","[{""tags"":""Things to do in Brooklyn, NY""},{""tags"":""Party""},{""tags"":""Music""}]"
"1554659113-1159","https://www.eventbrite.com/d/ny--new-york/all-events/?page=22","SOUQ NYCSOUQ NYC","https://www.eventbrite.com/e/souq-nyc-tickets-58656821131?aff=ebdssbdestsearch","SOUQ NYC","Sat, Jun 1, 2019, 3:00 PM –","Sun, Jun 2, 2019, 10:00 PM EDT","52-19 Flushing Ave","$45 – $110","[{""tags"":""Things to do in Queens, NY""},{""tags"":""Performance""},{""tags"":""Music""}]"
"1554658929-1137","https://www.eventbrite.com/d/ny--new-york/all-events/?page=44","Promises and Perils of NeuropredictionPromises and Perils of Neuroprediction","https://www.eventbrite.com/e/promises-and-perils-of-neuroprediction-tickets-52616582615?aff=ebdssbdestsearch","Promises and Perils of Neuroprediction","Tue, April 16, 2019","4:00 PM – 6:30 PM EDT","64 Morningside Drive","Free","[{""tags"":""Things to do in New York, NY""},{""tags"":""Seminar""},{""tags"":""Science & Tech""}]"
"1554659030-1150","https://www.eventbrite.com/d/ny--new-york/all-events/?page=31","InnovatorsInnovators","https://www.eventbrite.com/e/innovators-tickets-58452801904?aff=ebdssbdestsearch","Innovators","Fri, April 26, 2019","7:30 PM – 10:00 PM EDT","West 46th Street","Free","[{""tags"":""Things to do in New York, NY""},{""tags"":""Seminar""},{""tags"":""Science & Tech""}]"
"1554658921-1136","https://www.eventbrite.com/d/ny--new-york/all-events/?page=45","Cerrone with Kraak & Smaak (DJ Set)Cerrone with Kraak & Smaak (DJ Set)","https://www.eventbrite.com/e/cerrone-with-kraak-smaak-dj-set-tickets-56219913274?aff=ebdssbdestsearch","Cerrone with Kraak & Smaak (DJ Set)","Wed, Apr 24, 2019, 8:00 PM –","Thu, Apr 25, 2019, 1:00 AM EDT","158 Bleecker Street","$20","[{""tags"":""Things to do in New York, NY""},{""tags"":""Performance""},{""tags"":""Music""}]"
"1554659292-1180","https://www.eventbrite.com/d/ny--new-york/all-events/?page=1","Cherry Blossom FestivalCherry Blossom Festival","https://www.eventbrite.com/e/cherry-blossom-festival-tickets-59059619913?aff=ebdssbdestsearch","Cherry Blossom Festival","Sat, April 13, 2019","11:00 AM – 5:00 PM EDT","New York, NY 10044","Free","[{""tags"":""Things to do in New York, NY""},{""tags"":""Festival""},{""tags"":""Community""}]"
"1554659083-1156","https://www.eventbrite.com/d/ny--new-york/all-events/?page=25","Countdown to 4/20 NYCountdown to 4/20 NY","https://www.eventbrite.com/e/countdown-to-420-ny-tickets-58140505818?aff=ebdssbdestsearch","Countdown to 4/20 NY","Fri, Apr 19, 2019, 9:00 PM –","Sat, Apr 20, 2019, 2:00 AM EDT","Williamsburg","$50 – $1,000","[{""tags"":""Things to do in Brooklyn, NY""},{""tags"":""Networking""},{""tags"":""Food & Drink""}]"
"1554658974-1143","https://www.eventbrite.com/d/ny--new-york/all-events/?page=38","Building a Sustainable Future: How to Bring Impact to Any CareerBuilding a Sustainable Future: How to Bring Impact to Any Career","https://www.eventbrite.com/e/building-a-sustainable-future-how-to-bring-impact-to-any-career-registration-57762861273?aff=ebdssbdestsearch","Building a Sustainable Future: How to Bring Impact to Any Career","Thu, April 11, 2019","6:00 PM – 9:00 PM EDT","238 Thompson Street","Free","[{""tags"":""Things to do in New York, NY""},{""tags"":""Networking""},{""tags"":""School Activities""}]"
