web-scraper-order,web-scraper-start-url,url,url-href,title,time,date,venue,image-src,price,tags
"1554980632-38","https://www.eventbrite.com/d/dc--washington/all-events/?page=48","PHR Spring 2019 Volunteer TrainingPHR Spring 2019 Volunteer Training","https://www.eventbrite.com/e/phr-spring-2019-volunteer-training-tickets-59298012953?aff=ebdssbdestsearch","PHR Spring 2019 Volunteer Training","9:00 AM – 4:00 PM EDT","Sat, April 13, 2019","Auditorium of the New Research Building
									Washington, DC 20007 
									United States 
								
									View Map
									View Map","","$8 – $20","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Class""},{""tags"":""Charity & Causes""}]"
"1554998826-694","https://www.eventbrite.com/d/dc--washington/all-events/?page=15","CULTURE:The Hottest Friday Night Experience in DC CULTURE:The Hottest Friday Night Experience in DC","https://www.eventbrite.com/e/culturethe-hottest-friday-night-experience-in-dc-tickets-50934050115?aff=ebdssbdestsearch","CULTURE:The Hottest Friday Night Experience in DC","Sat, Apr 13, 2019, 3:00 AM EDT","Fri, Apr 12, 2019, 10:00 PM –","Select a different date","","Free","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Party""},{""tags"":""Other""}]"
"1554998439-625","https://www.eventbrite.com/d/dc--washington/all-events/?page=18","2019 Northeastern Regional Conference Tickets2019 Northeastern Regional Conference Tickets","https://www.eventbrite.com/e/2019-northeastern-regional-conference-tickets-tickets-57733328941?aff=ebdssbdestsearch","2019 Northeastern Regional Conference Tickets","Sun, Apr 28, 2019, 7:00 AM EDT","Wed, Apr 24, 2019, 7:00 PM –","Hyatt Regency Crystal City At Reagan National Airport
									2799 Richmond Highway 
									Arlington, VA 22202 
									United States 
								
									View Map
									View Map","","$20 – $100","[{""tags"":""Things to do in Arlington, VA""}]"
"1554999884-916","https://www.eventbrite.com/d/dc--washington/all-events/?page=3","Robert Caro | WORKINGRobert Caro | WORKING","https://www.eventbrite.com/e/robert-caro-working-tickets-58444172092?aff=ebdssbdestsearch","Robert Caro | WORKING","7:00 PM – 8:00 PM EDT","Mon, May 6, 2019","Sixth & I
									600 I Street Northwest 
									Washington, DC 20001 
									United States 
								
									View Map
									View Map","","$20 – $50","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Appearance""},{""tags"":""Arts""}]"
"1554998811-691","https://www.eventbrite.com/d/dc--washington/all-events/?page=15","U.S. Department Of Labor (DOL) Vendor Outreach SessionU.S. Department Of Labor (DOL) Vendor Outreach Session","https://www.eventbrite.com/e/us-department-of-labor-dol-vendor-outreach-session-registration-58983525312?aff=ebdssbdestsearch","U.S. Department Of Labor (DOL) Vendor Outreach Session","9:00 AM – 12:00 PM EDT","Wed, April 17, 2019","U.S. Department of Labor
									Frances Perkins Building/Great Hall 
									200 Constitution Avenue NW 
									Washington, DC 20210 
									United States 
								
									View Map
									View Map","","Free","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Networking""},{""tags"":""Business""}]"
"1554997022-360","https://www.eventbrite.com/d/dc--washington/all-events/?page=31","2019 iCare Feed the 5000 5k Run/Walk2019 iCare Feed the 5000 5k Run/Walk","https://www.eventbrite.com/e/2019-icare-feed-the-5000-5k-runwalk-tickets-55599616951?aff=ebdssbdestsearch","2019 iCare Feed the 5000 5k Run/Walk","9:00 AM – 12:00 PM EDT","Sat, April 20, 2019","Tucker Road Athletic Complex - Henson Creek Trail
									1771 Tucker Road 
									Fort Washington, MD 20744 
									United States 
								
									View Map
									View Map","","$20 – $350","[{""tags"":""Things to do in Fort Washington, MD""},{""tags"":""Race""},{""tags"":""Charity & Causes""}]"
"1554998157-568","https://www.eventbrite.com/d/dc--washington/all-events/?page=21","St. Yves ShindigSt. Yves Shindig","https://www.eventbrite.com/e/st-yves-shindig-tickets-58380925921?aff=ebdssbdestsearch","St. Yves Shindig","5:00 PM – 10:00 PM EDT","Sat, May 11, 2019","St. Yves
									1220 Connecticut Ave NW 
									Washington, DC 20036 
									United States 
								
									View Map
									View Map","","$0 – $195","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Networking""},{""tags"":""Food & Drink""}]"
"1554981302-97","https://www.eventbrite.com/d/dc--washington/all-events/?page=45","Mary Lyon ReceptionMary Lyon Reception","https://www.eventbrite.com/e/mary-lyon-reception-tickets-57742226554?aff=ebdssbdestsearch","Mary Lyon Reception","6:00 PM – 9:00 PM EDT","Tue, April 30, 2019","Republic Restoratives Distillery and Craft Cocktail Bar
									1369 New York Avenue Northeast 
									Washington, DC 20002 
									United States 
								
									View Map
									View Map","","$45 – $1,000","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Party""}]"
"1554999205-773","https://www.eventbrite.com/d/dc--washington/all-events/?page=11","GRYPHON SUNDAYSGRYPHON SUNDAYS","https://www.eventbrite.com/e/gryphon-sundays-tickets-54225022502?aff=ebdssbdestsearch","GRYPHON SUNDAYS","12:30 PM – 10:00 PM EDT","Sun, April 14, 2019","Select a different date","","Free","[{""tags"":""Things to do in Washington, DC""},{""tags"":""Party""},{""tags"":""Food & Drink""}]"
"1554998982-727","https://www.eventbrite.com/d/dc--washington/all-events/?page=13","Strategic Government CommunicationsStrategic Government Communications","https://www.eventbrite.com/e/strategic-government-communications-registration-53447015462?aff=ebdssbdestsearch","Strategic Government Communications","null","null","null","","$1,295 – $3,495","[{""tags"":""(202) 234-3200""},{""tags"":""Things to do in Washington, DC""},{""tags"":""Conference""},{""tags"":""Business""}]"
